strong_bu_speed,strong_bu_passing,strong_bu_positioning,st_id,id
57,45,Organised,5040,16430
32,39,Organised,7123,150
30,36,Organised,5481,20375
62,48,Organised,28,73723
67,37,Organised,5472,55965
32,39,Organised,477,9600
67,37,Organised,7435,57814
32,39,Organised,6669,75290
62,48,Organised,2630,24534
67,37,Organised,7449,27102
47,50,Organised,2269,28003
47,50,Organised,4394,25584
47,50,Organised,861,3627
47,50,Organised,225,63098
51,55,Organised,3296,38661
51,55,Organised,1272,41934
51,55,Organised,6768,72691
51,55,Organised,422,4592
54,56,Organised,3360,62909
54,56,Organised,3842,12694
54,56,Organised,1151,77160
54,56,Organised,6918,22147
67,37,Organised,1627,17885
67,37,Organised,5618,45085
63,40,Organised,2295,15830
63,40,Organised,5813,2520
30,36,Organised,182,34329
30,36,Organised,1955,8554
30,36,Organised,3466,50069
30,36,Organised,797,17969
37,40,Organised,5794,15350
37,40,Organised,4553,63450
37,40,Organised,1667,58112
37,40,Organised,7114,6662
45,49,Organised,6873,21643
45,49,Organised,5703,55745
49,48,Organised,4956,33508
49,48,Organised,6910,3084
55,40,Organised,1800,54519
55,40,Organised,5743,14370
66,57,Organised,6400,29099
66,57,Organised,1610,69820
53,54,Organised,5664,41226
62,42,Organised,94,14127
53,54,Organised,1866,71955
62,42,Organised,7352,40357
67,37,Organised,3502,40697
67,37,Organised,789,37791
63,40,Organised,291,61298
63,40,Organised,4392,49700
52,56,Organised,6871,50175
52,56,Organised,986,53800
52,56,Organised,7645,44642
52,56,Organised,3015,45061
57,55,Organised,3472,54174
58,56,Organised,4276,22121
52,53,Organised,5992,70446
52,53,Organised,3155,49403
49,32,Organised,5916,30359
49,32,Organised,6108,45183
49,32,Organised,7220,65204
49,32,Organised,6404,68401
36,55,Organised,5154,63885
75,55,Organised,5520,73179
36,55,Organised,1986,47828
75,55,Organised,3572,28513
54,56,Organised,653,47665
54,56,Organised,344,31605
54,56,Organised,3737,65101
54,56,Organised,2090,27984
57,45,Organised,4031,38852
57,45,Organised,296,69665
57,45,Organised,1779,26976
57,45,Organised,3390,18391
53,54,Organised,7593,3945
53,54,Organised,5601,8068
53,54,Organised,3572,2313
53,54,Organised,3407,9099
45,49,Organised,3911,3670
49,48,Organised,2565,62161
45,49,Organised,6267,59468
49,48,Organised,6906,6117
66,49,Organised,4372,66072
66,49,Organised,2646,74126
40,44,Organised,6569,22332
40,44,Organised,3736,24998
48,52,Organised,1104,7809
45,45,Organised,6809,276
33,52,Organised,6562,72480
51,55,Organised,4583,53099
62,48,Organised,3199,30582
52,56,Organised,150,10997
48,36,Organised,5500,78857
63,40,Organised,805,71561
51,52,Organised,2968,32525
70,59,Organised,5041,40479
55,31,Organised,7707,27120
51,52,Organised,7582,1691
63,40,Organised,2571,13169
52,56,Organised,5486,70925
50,34,Organised,3315,19841
45,37,Organised,5205,63764
62,48,Organised,5969,284
52,53,Organised,1644,27237
33,52,Organised,1695,43971
51,52,Organised,4211,40827
45,45,Organised,5046,5024
50,49,Organised,4964,30114
45,45,Organised,3609,36362
54,56,Organised,3292,19658
39,45,Organised,183,32845
62,48,Organised,7785,3263
29,33,Organised,1185,26452
62,42,Organised,4886,43282
48,36,Organised,5624,32422
45,45,Organised,5709,43282
45,45,Organised,2684,51640
33,52,Organised,6193,36593
32,39,Organised,3897,42878
65,50,Organised,1056,54247
54,56,Organised,1287,49847
50,49,Organised,1171,71562
63,40,Organised,2101,14288
66,49,Organised,2792,20153
66,49,Organised,2100,42633
40,44,Organised,6848,37291
66,49,Organised,4675,68865
55,40,Organised,7321,46759
49,32,Organised,2310,12221
66,49,Organised,3916,64514
62,42,Organised,4666,1711
39,46,Organised,1046,76687
65,50,Organised,3078,77556
63,40,Organised,7175,5798
40,45,Organised,5150,6995
48,36,Organised,188,49945
49,48,Organised,5341,48311
45,37,Organised,1504,46092
62,48,Organised,5665,29721
48,36,Organised,5924,59255
55,60,Organised,6192,40079
50,34,Organised,6576,68288
57,55,Organised,6996,77116
54,56,Organised,5715,25194
55,40,Organised,2419,28574
41,38,Organised,1749,53787
29,33,Organised,96,17956
48,52,Organised,2811,19499
53,54,Organised,2704,59800
45,37,Organised,7576,39860
62,48,Organised,577,53182
48,36,Organised,660,78879
54,56,Organised,6263,19380
49,45,Organised,6749,14490
51,55,Organised,3765,33271
63,40,Organised,6449,77439
62,42,Organised,3815,14145
53,54,Organised,5462,12499
39,45,Organised,3505,36928
32,39,Organised,810,47732
52,53,Organised,3179,30584
45,45,Organised,3851,58636
51,52,Organised,3428,39518
62,48,Organised,3357,61077
50,49,Organised,7496,48907
45,45,Organised,3948,11189
54,56,Organised,7300,55892
62,42,Organised,5075,41495
50,64,Organised,4626,13922
32,39,Organised,3071,67787
55,31,Organised,5772,2537
50,34,Free Form,7375,50019
62,48,Organised,653,17238
50,64,Organised,1501,27138
62,42,Organised,1903,18521
53,54,Organised,3323,69712
36,55,Organised,7269,10648
62,48,Organised,5428,67950
50,49,Organised,2733,17643
62,42,Organised,1229,25965
50,64,Organised,1989,35000
32,39,Organised,3851,74727
62,48,Organised,1910,2986
62,42,Organised,873,22871
32,39,Organised,5212,73247
50,64,Organised,331,53758
32,39,Organised,2439,40960
70,59,Organised,6769,45212
63,40,Organised,1515,42784
55,60,Organised,170,13776
51,52,Organised,3429,49405
48,36,Organised,3407,12480
62,42,Organised,1590,9846
45,45,Organised,3885,16263
48,52,Organised,5369,65258
52,54,Organised,2471,37399
45,37,Organised,1406,73245
52,53,Organised,4567,28899
55,60,Organised,2321,41016
63,40,Organised,4503,53661
54,56,Organised,4720,40026
32,39,Organised,6415,65710
49,45,Organised,62,54692
32,39,Organised,664,61241
36,55,Organised,706,6347
62,48,Organised,1263,57727
50,49,Organised,99,20511
63,40,Organised,5893,48240
55,60,Organised,4815,31820
55,31,Organised,6388,47126
51,52,Organised,4607,12972
50,34,Free Form,419,11383
29,33,Organised,6999,78864
51,55,Organised,2205,55745
53,54,Organised,6852,35652
48,36,Organised,7632,15883
56,58,Organised,1704,14370
55,60,Organised,1088,8984
50,34,Free Form,1809,74602
62,48,Organised,6513,62507
50,64,Organised,4564,28316
52,54,Organised,3450,6059
45,37,Organised,5250,28064
32,39,Organised,7661,33628
62,42,Organised,4663,14605
50,49,Organised,492,5980
29,33,Organised,5565,78380
50,49,Organised,4808,75145
36,55,Organised,3805,65261
70,59,Organised,3480,43996
32,39,Organised,5557,38231
39,45,Organised,2865,68771
63,40,Organised,983,9402
50,64,Organised,1377,47654
41,38,Organised,2449,73071
45,37,Organised,4270,16825
55,31,Organised,3261,69886
49,45,Organised,1278,72951
70,59,Organised,4926,20090
48,52,Organised,4748,31201
62,48,Organised,7202,38294
32,39,Organised,315,71392
65,50,Organised,3437,2507
48,36,Organised,5332,4334
52,54,Organised,3814,1460
33,52,Organised,683,48246
50,34,Free Form,7345,56373
51,55,Organised,4349,54829
36,55,Organised,6372,19934
29,33,Organised,5783,14225
49,45,Organised,536,42080
66,49,Organised,5789,32662
50,49,Organised,2067,31325
32,39,Organised,5749,33925
40,45,Organised,1346,15006
33,52,Organised,3172,22334
41,38,Organised,470,62028
50,64,Organised,2284,29572
40,50,Organised,567,17591
60,44,Organised,2586,37632
62,48,Organised,7018,30654
53,54,Organised,5638,25516
62,52,Organised,3398,11608
48,36,Organised,2792,73621
55,31,Organised,1793,49826
40,44,Organised,3701,75014
63,40,Organised,7434,74310
55,35,Free Form,981,69370
41,38,Organised,7221,77077
51,53,Organised,1512,54691
32,39,Organised,2553,65358
40,50,Organised,6920,59638
50,49,Organised,218,2868
54,56,Organised,3615,75286
48,36,Organised,1571,75081
63,40,Organised,4800,60721
53,54,Organised,2896,26589
63,59,Organised,6240,41787
62,48,Organised,6297,77240
55,31,Organised,1486,70637
55,45,Organised,143,43137
40,44,Organised,3665,40551
49,45,Organised,3474,17004
36,55,Organised,4847,40425
62,42,Organised,4199,11450
66,49,Organised,3845,10208
54,56,Organised,615,54741
54,56,Organised,2654,20006
45,37,Organised,4162,32734
53,54,Organised,3352,5654
33,36,Organised,1417,53313
52,54,Organised,3831,51779
55,31,Organised,4447,35748
48,36,Organised,1195,112
49,45,Organised,845,74930
33,36,Organised,3947,4072
65,53,Organised,2792,64549
45,37,Organised,7191,3463
54,56,Organised,5455,64995
50,49,Organised,6927,43082
55,60,Organised,1786,14990
45,37,Organised,2003,35201
62,48,Organised,6009,61140
48,36,Organised,3133,68206
63,40,Organised,6027,70192
33,36,Organised,3871,4207
36,55,Organised,395,34168
40,50,Organised,4135,51230
49,45,Organised,1985,49092
32,39,Organised,3755,21580
52,54,Organised,4757,6831
55,60,Organised,3660,38584
55,59,Organised,6081,46935
50,49,Organised,1814,70194
50,64,Organised,3749,63825
36,55,Organised,6396,69329
64,35,Organised,5613,28337
48,36,Organised,6486,13023
54,56,Organised,494,867
41,46,Organised,1491,6456
62,48,Organised,3487,69659
55,35,Free Form,1579,2809
33,36,Organised,3874,38200
45,45,Organised,4056,75318
53,54,Organised,7487,57947
41,38,Organised,909,11497
32,39,Organised,195,1841
61,48,Organised,7040,43341
62,52,Organised,1889,28510
54,56,Organised,4761,11240
63,40,Organised,2911,57729
41,46,Organised,7787,1868
52,54,Organised,1407,76941
50,49,Organised,4276,5568
41,38,Organised,3719,51513
32,39,Organised,1223,40422
33,36,Organised,3185,51549
64,35,Organised,4317,19041
55,31,Organised,590,24239
48,36,Organised,3254,26660
65,53,Organised,2968,58943
40,50,Organised,363,41123
63,40,Organised,7487,75653
32,39,Organised,4644,58372
50,49,Organised,97,41854
55,31,Organised,4759,50280
52,54,Organised,7624,43095
33,36,Organised,3317,65549
62,52,Organised,6911,56767
50,49,Organised,2593,45908
60,44,Organised,284,5263
32,39,Organised,6473,28208
48,36,Organised,5589,71435
33,36,Organised,1037,44065
41,38,Organised,3421,35220
55,31,Organised,6675,52158
33,36,Organised,3358,71289
63,40,Organised,2735,30495
55,31,Organised,3919,33735
63,40,Organised,5108,53151
48,36,Organised,5129,31841
63,40,Organised,6587,74794
40,50,Organised,5480,7545
32,39,Organised,5858,19918
41,38,Organised,3594,25430
50,64,Organised,987,73027
50,49,Organised,3918,70493
62,48,Organised,6383,75553
48,36,Organised,5592,25768
45,37,Organised,3595,39570
64,35,Organised,7297,46166
47,50,Organised,1921,70531
63,40,Organised,7656,68858
62,48,Organised,2924,40921
64,35,Organised,300,32495
50,64,Organised,1632,73783
39,37,Organised,3721,60119
45,37,Organised,2369,40499
55,31,Organised,692,33670
36,55,Organised,4586,51826
32,39,Organised,3499,6957
61,48,Organised,3970,49825
62,48,Organised,636,46114
64,35,Organised,5530,60276
41,38,Organised,4264,34009
50,49,Organised,97,11731
32,39,Organised,6208,3379
36,55,Organised,4999,34131
48,36,Organised,3101,5195
62,52,Organised,2974,30288
63,40,Organised,3586,9745
53,54,Organised,6781,47075
55,35,Free Form,5142,65565
48,36,Organised,695,55191
49,45,Organised,3495,75984
32,39,Organised,7131,48691
50,64,Organised,7455,64382
64,35,Organised,3262,301
36,55,Organised,4269,63737
63,40,Organised,1021,31669
54,56,Organised,458,32480
62,48,Organised,6792,72689
33,36,Organised,7200,1444
62,48,Organised,5299,60068
64,35,Organised,4860,45784
33,52,Organised,193,50472
36,55,Organised,206,62399
32,33,Organised,2395,38794
47,50,Organised,4284,24589
54,56,Organised,5530,41618
48,36,Organised,5813,47567
55,35,Free Form,3248,7813
61,48,Organised,1129,74204
55,35,Free Form,7243,60366
32,39,Organised,6473,44543
33,52,Organised,1542,56838
36,55,Organised,6439,77701
55,59,Organised,5666,78710
50,64,Organised,1484,48596
41,38,Organised,3467,63691
48,36,Organised,6957,40770
63,40,Organised,6592,58141
62,48,Organised,4976,63183
65,53,Organised,2081,23740
66,49,Organised,4179,76701
62,48,Organised,6688,59741
54,55,Organised,5552,21709
63,42,Organised,4520,65176
40,45,Organised,1055,57910
32,39,Organised,4118,68511
50,49,Organised,3977,68408
33,52,Organised,4352,60918
62,48,Organised,2473,10766
32,33,Organised,4344,19146
45,48,Organised,4811,34978
45,39,Organised,3463,63208
40,50,Organised,6531,6083
41,38,Organised,5696,25578
45,37,Organised,2221,36880
57,34,Organised,5789,26093
63,59,Organised,7567,61821
55,56,Organised,1277,33035
40,45,Organised,7596,56189
61,48,Organised,7083,4058
32,39,Organised,136,12345
62,48,Organised,7634,60421
64,38,Organised,3011,25386
50,49,Organised,649,64818
41,38,Organised,2457,53529
52,54,Organised,2550,64527
36,55,Organised,6191,48707
57,34,Organised,4843,8291
41,38,Organised,1758,63
53,54,Organised,6456,57528
52,36,Organised,6437,67934
51,46,Organised,1705,34774
36,55,Organised,6224,41177
45,37,Organised,1495,18321
41,38,Organised,5902,51625
45,39,Organised,4266,63162
63,42,Organised,1684,73166
52,54,Organised,4642,32378
41,38,Organised,4911,22859
50,64,Organised,4,46096
33,52,Organised,6932,19479
62,48,Organised,489,37670
64,38,Organised,1851,32691
52,36,Organised,7418,41396
47,50,Organised,152,31709
55,35,Free Form,7539,78581
54,56,Organised,3578,38426
61,48,Organised,2295,58036
53,54,Organised,3635,34420
62,48,Organised,4486,26820
50,49,Organised,703,31879
52,36,Organised,5742,29223
49,45,Organised,6669,56955
64,38,Organised,1617,10340
64,38,Organised,1217,76431
57,34,Organised,2544,47457
63,42,Organised,327,3875
57,34,Organised,5663,55022
34,35,Organised,2611,26381
63,42,Organised,5931,15259
53,54,Organised,3697,3573
64,38,Organised,6352,16584
63,42,Organised,5256,19827
57,34,Organised,6319,57659
63,42,Organised,3851,864
53,54,Organised,3625,24160
63,42,Organised,1848,4888
57,34,Organised,4982,7044
62,48,Organised,6980,65971
49,45,Organised,6818,77243
64,38,Organised,4139,12751
52,36,Organised,2226,61687
50,64,Organised,2223,4024
32,39,Organised,6733,40097
50,49,Organised,1255,23046
63,42,Organised,2001,17552
55,35,Free Form,2340,5471
41,38,Organised,1674,43137
61,48,Organised,4791,34482
41,38,Organised,3987,77904
57,34,Organised,5114,56502
45,37,Organised,7069,62065
63,42,Organised,1406,73760
47,50,Organised,1265,53593
32,39,Organised,7334,51474
64,38,Organised,3166,50881
62,48,Organised,7732,77300
50,64,Organised,6242,26514
36,55,Organised,6279,20961
36,40,Organised,4243,60802
36,33,Organised,1381,22996
40,38,Organised,760,61885
68,66,Organised,7796,36659
49,52,Organised,2184,12396
28,34,Organised,2649,73699
51,49,Organised,3829,53442
37,37,Organised,129,12228
35,30,Organised,5104,38011
53,53,Organised,844,2127
50,53,Organised,2145,40760
72,70,Organised,566,18969
36,37,Organised,3160,68476
37,37,Organised,7182,22104
72,68,Organised,6511,13901
36,33,Organised,3312,15824
36,40,Organised,3323,20550
51,51,Organised,6301,62473
50,50,Organised,1899,23504
68,66,Organised,7778,23
51,50,Organised,7243,28764
51,49,Organised,1547,71885
68,71,Organised,1577,37427
53,53,Organised,799,55524
37,37,Organised,4107,38339
51,51,Organised,7580,73298
36,36,Organised,3003,32932
28,34,Organised,6219,2139
35,30,Organised,1299,25567
51,49,Organised,5632,48133
51,50,Organised,4729,32472
73,67,Organised,2955,19506
50,53,Organised,3301,61701
53,49,Organised,4683,20354
36,40,Organised,546,65461
53,53,Organised,2758,28502
69,66,Organised,6002,15887
73,67,Organised,212,2769
49,52,Free Form,2257,5904
51,49,Organised,4123,22726
68,66,Organised,1690,23444
36,33,Organised,6548,64714
28,34,Organised,802,6526
50,53,Organised,6338,48648
51,50,Organised,1617,65065
51,51,Organised,5560,71298
32,28,Organised,5719,71831
53,49,Organised,4452,40434
50,53,Organised,2774,53443
72,68,Organised,4161,39110
40,39,Organised,2742,22654
35,30,Organised,4111,5704
32,28,Organised,7605,18310
53,53,Organised,3374,32893
73,67,Organised,3306,155
53,53,Organised,4781,65408
49,52,Organised,3052,38317
72,70,Organised,4779,4824
51,50,Organised,5609,40753
51,50,Organised,7058,28674
37,37,Organised,6487,18423
51,49,Organised,1952,50177
68,71,Organised,3659,52795
40,38,Organised,7235,36965
68,71,Organised,5584,32963
51,50,Organised,1889,28141
51,49,Organised,5281,25540
68,66,Organised,5828,17212
36,36,Organised,7469,53588
50,53,Organised,195,58769
73,67,Organised,4699,71399
28,34,Organised,6309,56811
71,67,Organised,1209,48991
53,50,Organised,780,66358
53,49,Organised,3451,34427
53,52,Organised,1498,52155
35,30,Organised,4189,1100
32,28,Organised,640,25903
52,51,Organised,7080,14958
71,67,Organised,4067,9020
