strong_attack,strong_midfield,strong_deffense,strong_aggression,strong_preassure,st_id,id
77,78,75,55,45,1808,160628
84,76,75,50,48,5040,588707
84,80,80,55,60,7123,111167
80,80,79,42,48,5481,437342
82,81,84,37,61,28,97066
82,85,81,57,50,5472,734595
84,80,80,55,60,477,757774
82,85,81,57,50,7435,191951
84,80,80,55,60,6669,312873
82,81,84,37,61,2630,115971
82,85,81,57,50,7449,90834
73,73,73,44,47,2269,235193
73,73,73,44,47,4394,500326
73,74,73,44,47,861,416761
73,74,73,44,47,225,412119
76,79,76,47,50,3296,488845
77,78,77,47,50,1272,29968
76,79,76,47,50,6768,626363
77,78,77,47,50,422,246901
83,78,79,47,43,3360,554340
83,78,79,47,43,3842,37257
83,79,79,47,43,1151,168186
83,79,79,47,43,6918,99731
84,82,82,57,50,1627,74539
84,82,82,57,50,5618,755334
84,83,82,57,44,2295,655024
84,83,82,57,44,5813,660168
75,80,80,42,48,182,586342
75,80,80,42,48,1955,213890
76,80,80,42,48,3466,544886
76,80,80,42,48,797,148672
86,84,83,50,37,5794,150176
86,84,83,50,37,4553,26984
86,84,83,50,37,1667,426807
86,84,83,50,37,7114,242060
81,79,82,59,46,6873,578772
81,79,82,59,46,5703,160294
81,79,82,44,34,4956,778573
81,79,82,44,34,6910,656236
70,70,70,48,61,1800,438725
70,70,70,48,61,5743,371767
70,71,69,48,61,6400,366784
70,71,69,48,61,1610,641400
78,74,74,58,46,5664,628437
76,75,70,44,35,94,362471
79,73,74,58,46,1866,505602
76,75,70,44,35,7352,275818
84,82,82,57,50,3502,8576
84,82,82,57,50,789,332126
84,83,82,57,44,291,535403
84,83,82,57,44,4392,371330
74,72,75,37,24,6871,430909
74,72,75,37,24,986,678588
74,72,75,37,24,7645,691319
74,72,75,37,24,3015,12747
71,69,69,50,40,3472,327220
71,69,69,50,40,4276,647113
70,71,66,47,47,5992,639795
70,71,66,47,47,3155,782568
81,73,72,59,42,5916,796930
78,75,75,59,42,6108,456018
81,73,72,59,42,7220,442195
78,75,75,59,42,6404,149319
78,75,76,56,44,5154,422087
82,75,76,46,31,5520,619939
78,75,76,56,44,1986,705422
82,75,76,46,31,3572,688814
83,78,79,47,43,653,193787
83,79,79,47,43,344,315387
83,78,79,47,43,3737,213601
83,79,79,47,43,2090,146073
84,76,74,50,48,4031,87137
83,77,76,50,48,296,365744
84,76,74,50,48,1779,732099
83,77,76,50,48,3390,792022
78,74,74,58,46,7593,153535
78,74,74,58,46,5601,642327
79,73,74,58,46,3572,311944
79,73,74,58,46,3407,704572
81,79,82,59,46,3911,518878
81,79,82,44,34,2565,370309
81,79,82,59,46,6267,274649
81,79,82,44,34,6906,84385
77,74,75,51,51,4372,614240
77,77,74,51,51,2646,746120
77,73,76,48,58,6569,351107
77,73,76,48,58,3736,392672
75,77,76,45,47,1104,216842
78,76,75,47,47,6809,546977
77,73,69,45,33,6562,185308
77,78,77,47,50,4583,430593
83,82,82,37,61,3199,52813
76,72,75,37,24,150,198059
85,80,80,46,36,5500,607649
83,83,79,57,44,805,657076
73,71,72,47,47,2968,230941
65,72,70,47,33,5041,377727
83,79,79,47,47,7707,401211
73,71,72,47,47,7582,309452
83,83,79,57,44,2571,286278
76,72,75,37,24,5486,795881
74,74,73,38,36,3315,81359
85,76,76,50,48,5205,490763
82,80,81,37,61,5969,379052
70,70,68,47,47,1644,97594
72,69,69,45,33,1695,771015
73,71,71,47,47,4211,787412
75,76,73,40,40,5046,95581
81,79,75,55,45,4964,525687
77,74,74,47,47,3609,326642
82,77,78,47,43,3292,527844
80,79,79,42,48,183,493353
82,80,81,37,61,7785,29409
73,64,70,44,33,1185,450961
78,74,74,44,35,4886,13186
85,80,80,46,36,5624,289634
77,74,74,47,47,5709,732842
75,76,73,40,40,2684,551726
72,69,69,45,33,6193,726991
87,80,80,55,60,3897,285021
75,73,76,44,47,1056,247611
82,77,78,47,43,1287,391880
81,79,75,55,45,1171,413644
83,83,79,57,44,2101,628561
78,77,73,51,51,2792,214440
77,72,72,51,51,2100,653621
76,65,74,48,58,6848,267752
77,72,72,51,51,4675,669979
73,72,67,48,51,7321,680283
77,72,74,59,42,2310,302821
77,72,72,51,51,3916,350725
76,75,73,44,35,4666,767873
74,69,67,55,48,1046,415493
75,73,75,44,47,3078,684570
79,84,80,57,44,7175,34977
71,72,70,50,40,5150,29930
82,81,80,46,36,188,404293
78,76,82,44,34,5341,121808
80,80,78,50,48,1504,752816
82,80,82,37,61,5665,111560
82,79,80,46,36,5924,154410
75,72,76,56,30,6192,185898
80,71,74,38,37,6576,400631
68,67,68,50,40,6996,356894
82,78,79,47,43,5715,365542
64,69,70,48,51,2419,344952
80,84,82,47,37,1749,677877
73,69,68,44,33,96,231545
75,76,75,45,47,2811,222402
78,76,74,58,46,2704,807474
81,80,78,50,48,7576,351556
82,81,82,37,61,577,561964
82,80,79,46,36,660,373083
82,78,79,47,43,6263,725173
80,75,72,59,42,6749,425837
78,78,74,47,50,3765,773834
82,80,82,57,44,6449,273043
77,74,73,44,35,3815,322437
72,69,69,58,46,5462,298100
79,81,79,42,48,3505,307908
86,80,81,55,60,810,629127
72,72,67,47,47,3179,740183
75,74,71,40,40,3851,70666
72,71,71,47,47,3428,594140
82,81,82,37,61,3357,312505
81,79,75,55,45,7496,243600
78,77,75,47,47,3948,426879
82,78,79,47,43,7300,508572
77,74,73,44,35,5075,763295
72,73,67,45,35,4626,780689
86,80,81,55,60,3071,792205
83,80,77,47,47,5772,643305
80,74,74,38,37,7375,514773
82,81,82,37,61,653,461068
77,68,69,45,35,1501,48512
77,74,73,44,35,1903,129795
72,69,69,58,46,3323,90886
75,74,77,56,44,7269,431739
82,81,82,37,61,5428,394733
81,79,75,55,45,2733,631139
77,74,73,44,35,1229,506274
77,68,69,45,35,1989,21024
86,80,81,55,60,3851,800994
82,80,83,37,61,1910,49385
76,76,73,44,35,873,469812
86,80,81,55,60,5212,311715
78,69,72,45,35,331,41012
86,80,81,55,60,2439,398701
69,72,70,47,33,6769,305651
82,82,78,57,44,1515,707337
78,73,74,56,30,170,721809
71,72,70,47,47,3429,498980
80,80,80,46,36,3407,730556
76,76,73,44,35,1590,162457
78,77,75,47,47,3885,17921
76,77,78,45,47,5369,503630
79,79,77,44,34,2471,442072
78,82,77,50,48,1406,12699
70,71,67,47,47,4567,141311
78,73,74,56,30,2321,697973
82,82,78,57,44,4503,575171
81,78,78,47,43,4720,131835
86,80,81,55,60,6415,307480
80,75,72,59,42,62,45540
86,80,81,55,60,664,586503
75,74,77,56,44,706,115847
82,80,83,37,61,1263,727495
81,78,75,55,45,99,771481
82,82,78,57,44,5893,216684
78,73,74,56,30,4815,20702
83,80,75,47,47,6388,323504
71,72,70,47,47,4607,621796
78,72,74,38,37,419,604087
72,70,72,44,33,6999,297127
78,77,75,47,50,2205,498688
79,77,74,58,46,6852,801553
80,80,80,46,36,7632,368180
69,68,68,30,33,1704,350030
78,73,74,56,30,1088,75110
78,72,74,38,37,1809,793307
82,80,83,37,61,6513,354674
71,70,67,45,35,4564,477237
79,79,77,44,34,3450,686290
78,82,77,50,48,5250,546158
86,80,81,55,60,7661,692266
76,76,73,44,35,4663,220612
81,78,75,55,45,492,453999
72,70,72,44,33,5565,40680
81,78,75,55,45,4808,789428
75,74,77,56,44,3805,317824
69,72,70,47,33,3480,328208
86,80,81,55,60,5557,63364
80,81,77,42,48,2865,439516
82,82,78,57,44,983,291210
71,71,70,45,35,1377,694913
80,84,82,47,37,2449,489339
78,82,77,50,48,4270,20640
83,80,75,47,47,3261,255966
80,75,72,59,42,1278,291091
69,72,70,47,33,4926,374312
76,77,78,45,47,4748,189036
82,80,83,37,61,7202,327715
86,80,81,55,60,315,691196
75,72,74,44,47,3437,672892
80,80,80,46,36,5332,154734
79,79,77,44,34,3814,650731
72,71,71,45,33,683,456471
78,72,74,38,37,7345,87656
78,77,75,47,50,4349,31687
75,74,77,56,44,6372,174661
72,70,72,44,33,5783,68867
80,75,72,59,42,536,785279
78,77,70,51,55,5789,537380
81,78,76,55,45,2067,252151
87,82,80,55,60,5749,660454
76,74,72,50,40,1346,419221
74,72,72,45,33,3172,20755
83,85,84,47,37,470,315408
76,72,70,45,35,2284,734220
75,77,76,50,45,567,416069
74,74,73,53,48,2586,424253
83,81,83,37,61,7018,126189
79,76,74,58,46,5638,431978
77,77,77,45,51,3398,429774
81,82,81,46,36,2792,370544
85,81,79,47,47,1793,641490
74,73,75,48,57,3701,501158
80,84,81,57,44,7434,540031
88,73,72,56,37,981,503283
83,85,84,47,37,7221,173923
74,74,73,36,46,1512,314675
87,82,80,55,60,2553,693940
75,77,76,50,45,6920,396167
81,78,76,55,45,218,427361
81,79,81,47,43,3615,3297
81,82,81,46,36,1571,143464
80,84,81,57,44,4800,232010
79,76,74,58,46,2896,349901
74,72,72,47,33,6240,668724
83,81,83,37,61,6297,677516
85,81,79,47,47,1486,426265
76,75,75,44,47,143,510742
74,73,75,48,57,3665,129055
78,73,74,59,42,3474,760306
79,74,78,56,44,4847,353081
78,79,75,44,35,4199,652478
78,77,71,51,55,3845,51885
82,79,80,47,43,615,394582
82,79,80,47,43,2654,509850
81,78,77,50,48,4162,362135
77,74,76,58,46,3352,319617
80,82,77,56,58,1417,440398
79,79,80,44,34,3831,231006
85,79,79,47,47,4447,60587
82,82,81,46,36,1195,385400
80,73,73,59,42,845,625342
80,82,77,56,58,3947,574132
78,77,77,47,47,2792,665855
81,78,77,50,48,7191,372715
82,79,80,47,43,5455,699095
78,77,74,55,45,6927,339714
76,72,76,56,35,1786,248726
81,78,77,50,48,2003,347319
83,81,83,37,61,6009,191626
82,82,81,46,36,3133,537898
78,84,80,57,44,6027,404394
80,82,77,56,58,3871,355563
81,73,78,56,44,395,181775
77,78,76,50,45,4135,42279
80,73,73,59,42,1985,370693
88,81,78,55,60,3755,355595
79,79,80,44,34,4757,51318
76,72,76,56,35,3660,777205
74,77,75,55,66,6081,369174
78,77,74,55,45,1814,172469
74,72,69,45,35,3749,266889
81,73,78,56,44,6396,660749
80,76,75,65,35,5613,292816
82,82,81,46,36,6486,303404
82,79,80,47,43,494,771192
74,75,73,51,38,1491,631807
83,81,83,37,61,3487,642124
82,75,72,56,37,1579,446589
80,82,77,56,58,3874,20971
76,74,75,40,40,4056,160638
77,74,76,58,46,7487,690286
81,85,84,47,37,909,374030
88,81,78,55,60,195,152237
72,76,76,63,54,7040,630367
76,76,79,45,51,1889,166926
82,79,80,47,43,4761,561568
78,84,80,57,44,2911,557269
74,75,73,51,38,7787,238767
79,79,80,44,34,1407,187496
78,77,74,55,45,4276,363537
81,85,84,47,37,3719,546274
88,81,78,55,60,1223,507399
80,82,77,56,58,3185,229442
80,76,75,65,35,4317,189676
85,79,79,47,47,590,42986
82,82,81,46,36,3254,103808
78,77,77,47,47,2968,97118
77,78,76,50,45,363,82990
78,84,80,57,44,7487,677900
88,81,78,55,60,4644,567846
78,77,74,55,45,97,342685
85,79,79,47,47,4759,299283
79,79,80,44,34,7624,168997
80,82,77,56,58,3317,52919
76,76,79,45,51,6911,96838
78,77,74,55,45,2593,798360
74,74,73,53,48,284,73060
88,81,78,55,60,6473,165961
82,82,81,46,36,5589,440905
80,82,77,56,58,1037,538913
81,85,84,47,37,3421,732942
85,80,78,47,47,6675,673921
80,82,77,56,58,3358,4313
79,83,82,57,44,2735,653215
85,80,78,47,47,3919,525130
79,83,82,57,44,5108,426958
82,82,80,46,36,5129,48530
78,83,82,57,44,6587,337054
77,78,76,50,45,5480,64203
88,80,77,55,60,5858,136532
81,85,83,47,37,3594,561646
69,66,67,45,35,987,288919
75,77,75,55,45,3918,23230
84,80,83,37,61,6383,636391
82,82,80,46,36,5592,713844
81,78,77,50,48,3595,240723
80,77,75,65,35,7297,192139
73,74,73,44,47,1921,411237
78,83,82,57,44,7656,174471
84,80,83,37,61,2924,652021
80,77,75,65,35,300,477621
74,72,69,45,35,1632,603669
67,71,72,45,55,3721,239802
81,78,77,50,48,2369,361405
85,80,79,47,47,692,645429
84,75,77,56,44,4586,33807
88,80,77,55,60,3499,579148
73,77,76,63,54,3970,291745
84,80,83,37,61,636,398805
80,77,75,65,35,5530,195488
81,85,83,47,37,4264,111929
75,77,75,55,45,97,735039
88,80,77,55,60,6208,32850
84,75,77,56,44,4999,93239
82,82,80,46,36,3101,364121
76,77,78,45,51,2974,73444
78,83,82,57,44,3586,543741
76,79,76,58,46,6781,459293
82,75,74,56,37,5142,420727
82,82,80,46,36,695,457529
76,73,74,59,42,3495,62503
88,80,77,55,60,7131,749731
74,72,69,45,35,7455,450142
80,77,75,65,35,3262,185552
84,75,77,56,44,4269,477691
78,83,82,57,44,1021,39559
81,79,80,47,43,458,656863
84,80,83,37,61,6792,503848
80,82,77,56,58,7200,621717
84,80,83,37,61,5299,85687
80,77,75,65,35,4860,320363
73,71,71,45,33,193,422811
84,75,77,56,44,206,239028
72,72,70,44,33,2395,730216
73,74,73,44,47,4284,726733
81,79,80,47,43,5530,356461
82,82,80,46,36,5813,163395
82,75,74,56,37,3248,32473
73,77,76,63,54,1129,396369
82,75,74,56,37,7243,135129
88,80,77,55,60,6473,583695
73,71,71,45,33,1542,795364
84,75,77,56,44,6439,206692
74,77,75,55,66,5666,78661
74,72,69,45,35,1484,40431
81,85,83,47,37,3467,573355
82,82,80,46,36,6957,719108
78,83,82,57,44,6592,232469
84,80,83,37,61,4976,601289
78,76,77,47,47,2081,69909
78,77,71,51,55,4179,635160
84,80,83,37,61,6688,487013
73,72,70,37,37,5552,788023
82,85,84,58,52,4520,806914
73,75,72,50,40,1055,31562
88,82,80,64,60,4118,489798
80,79,76,55,45,3977,689975
75,75,73,45,33,4352,568197
87,82,85,37,61,2473,6695
74,76,73,44,33,4344,355514
77,76,76,40,40,4811,594536
79,77,76,33,30,3463,463002
78,79,78,50,45,6531,501083
84,82,84,56,58,5696,230578
80,81,80,50,48,2221,219727
85,82,82,47,47,5789,693021
73,74,73,47,33,7567,518897
76,79,76,55,66,1277,343760
73,75,72,50,40,7596,730509
76,79,76,63,54,7083,266136
88,82,80,64,60,136,398000
87,82,85,37,61,7634,290233
80,80,77,65,59,3011,442278
80,79,76,55,45,649,214470
83,85,86,45,41,2457,440531
80,81,84,44,34,2550,785686
85,76,80,56,44,6191,629063
85,82,82,47,47,4843,273815
84,82,84,56,58,1758,758896
79,78,74,58,46,6456,188000
82,83,81,55,52,6437,348196
75,75,76,63,54,1705,326843
85,76,80,56,44,6224,460790
81,81,80,50,48,1495,744172
85,83,84,56,58,5902,74940
76,76,74,33,30,4266,411929
82,86,84,58,52,1684,145782
82,81,85,44,34,4642,212290
84,85,85,45,41,4911,219729
74,76,71,45,35,4,492530
74,75,72,45,33,6932,482925
87,82,85,37,61,489,719232
79,80,77,65,59,1851,1195
82,83,81,55,52,7418,282143
73,76,74,44,47,152,803546
82,77,77,56,37,7539,615879
85,81,81,47,43,3578,527793
78,77,77,63,54,2295,389915
79,78,74,58,46,3635,282038
87,82,85,37,61,4486,322045
79,79,76,55,45,703,275261
82,83,81,55,52,5742,509798
77,76,76,59,42,6669,399992
79,80,77,65,59,1617,259482
79,80,77,65,59,1217,39862
85,82,82,47,47,2544,387611
82,86,84,58,52,327,511885
85,82,82,47,47,5663,696497
71,71,71,69,68,2611,535322
82,86,84,58,52,5931,466496
79,78,74,58,46,3697,730108
79,80,77,65,59,6352,506357
82,86,84,58,52,5256,546754
85,82,82,47,47,6319,237736
82,86,84,58,52,3851,262177
79,78,74,58,46,3625,112513
82,86,84,58,52,1848,585537
85,82,81,47,47,4982,701448
87,82,85,37,61,6980,237886
77,76,76,59,42,6818,725537
79,80,77,65,59,4139,683656
82,83,81,55,52,2226,785197
72,70,68,45,35,2223,534700
87,83,80,64,60,6733,276880
79,79,76,55,45,1255,386105
82,86,84,58,52,2001,710305
82,77,77,56,37,2340,275946
84,85,85,45,41,1674,474458
78,77,77,63,54,4791,649654
85,83,84,56,58,3987,170618
85,82,81,47,47,5114,745525
81,81,80,50,48,7069,788848
82,86,84,58,52,1406,435983
73,75,74,44,47,1265,270085
87,83,80,64,60,7334,63446
79,80,77,65,59,3166,512901
87,82,85,37,61,7732,631370
74,76,71,45,35,6242,523447
85,76,80,56,44,6279,64261
87,81,82,66,76,4243,311486
85,82,85,73,76,1381,259123
79,80,77,55,68,760,637489
80,78,77,41,48,7796,314647
84,82,81,55,43,2184,206499
82,85,83,60,66,2649,396537
85,76,81,67,44,3829,252128
78,76,79,62,58,129,466392
84,85,81,47,47,5104,569838
74,78,76,59,46,844,32541
76,78,77,46,60,2145,595885
74,72,73,69,46,566,436934
74,75,73,66,74,3160,572805
78,76,79,62,58,7182,151384
82,73,77,53,44,6511,55608
85,82,85,73,76,3312,514305
87,81,82,66,76,3323,164476
82,81,79,42,46,6301,33094
75,74,73,54,59,1899,333528
80,78,77,41,48,7778,59518
86,82,80,58,66,7243,501949
85,76,81,67,44,1547,419039
75,73,75,71,75,1577,583483
76,78,76,59,46,799,283965
78,76,79,62,58,4107,363599
79,81,80,42,46,7580,535985
83,84,85,66,75,3003,222648
82,85,84,60,66,6219,675118
84,84,82,47,47,1299,208791
85,74,79,67,44,5632,342522
86,82,80,58,66,4729,686422
81,80,83,33,29,2955,63539
75,78,75,46,60,3301,219769
73,72,69,70,66,4683,536261
84,82,81,66,76,546,422616
76,78,76,59,46,2758,402284
73,73,73,42,44,6002,796117
81,80,83,33,29,212,463568
82,75,77,52,46,2257,237244
85,74,79,67,44,4123,427247
80,79,78,41,48,1690,50281
85,82,85,73,76,6548,725429
82,85,84,60,66,802,146781
75,78,75,46,60,6338,436375
86,82,80,58,66,1617,616183
79,81,80,42,46,5560,642824
84,86,86,62,75,5719,21718
73,72,69,70,66,4452,260906
75,78,76,46,60,2774,344204
82,72,76,53,44,4161,686467
80,76,77,70,66,2742,537977
83,86,81,47,47,4111,440903
84,86,87,62,75,7605,455489
75,77,78,59,46,3374,534424
83,82,85,33,29,3306,443680
79,79,77,60,68,4781,74450
83,82,81,55,43,3052,104149
74,73,72,69,46,4779,428501
85,82,79,58,66,5609,27235
86,83,85,73,76,7058,156260
78,77,78,62,58,6487,215589
84,75,81,67,44,1952,202976
69,72,66,24,29,3659,236651
78,80,77,55,68,7235,595539
73,74,74,71,75,5584,639364
85,82,79,58,66,1889,165716
84,75,81,67,44,5281,429665
80,79,78,41,48,5828,388311
84,83,85,66,75,7469,430684
75,78,76,46,60,195,73355
83,82,85,33,29,4699,80444
81,86,83,60,66,6309,310735
79,74,79,28,25,1209,461483
75,75,73,49,44,780,608432
73,72,71,70,66,3451,786786
77,76,76,55,66,1498,560226
83,86,81,47,47,4189,521819
84,86,87,62,75,640,24296
76,76,74,70,48,7080,337472
78,74,77,28,25,4067,57438
