TicketId,Ticket,Fare,Pclass,Embarked
6830,A/5 21171,7.25,3,S
5438,PC 17599,71.2833,1,C
2811,STON/O2. 3101282,7.925,3,S
8904,113803,53.1,1,S
2118,373450,8.05,3,S
3131,330877,8.4583,3,Q
3446,17463,51.8625,1,S
4920,349909,21.075,3,S
9790,347742,11.1333,3,S
4697,237736,30.0708,2,C
103,PP 9549,16.7,3,S
745,113783,26.55,1,S
6874,A/5. 2151,8.05,3,S
4172,347082,31.275,3,S
8876,350406,7.8542,3,S
2118,248706,16.0,2,S
1678,382652,29.125,3,Q
7024,244373,13.0,2,S
3746,345763,18.0,3,S
4288,2649,7.225,3,C
3342,239865,26.0,2,S
1828,248698,13.0,2,S
1756,330923,8.0292,3,Q
4613,113788,35.5,1,S
2881,349909,21.075,3,S
1092,347077,31.3875,3,S
8429,2631,7.225,3,C
18,19950,263.0,1,S
9022,330959,7.8792,3,Q
3372,349216,7.8958,3,S
9282,PC 17601,27.7208,1,C
529,PC 17569,146.5208,1,C
1533,335677,7.75,3,Q
7512,C.A. 24579,10.5,2,S
1133,PC 17604,82.1708,1,C
2231,113789,52.0,1,S
5397,2677,7.2292,3,C
9177,A./5. 2152,8.05,3,S
9185,345764,18.0,3,S
8139,2651,11.2417,3,C
7760,7546,9.475,3,S
8881,11668,21.0,2,S
431,349253,7.8958,3,C
9455,SC/Paris 2123,41.5792,2,C
9472,330958,7.8792,3,Q
6699,S.C./A.4. 23567,8.05,3,S
5419,370371,15.5,3,Q
2065,14311,7.75,3,Q
3178,2662,21.6792,3,C
9127,349237,17.8,3,S
5139,3101295,39.6875,3,S
1356,A/4. 39886,7.8,3,S
5359,PC 17572,76.7292,1,C
1960,2926,26.0,2,S
5330,113509,61.9792,1,C
4105,19947,35.5,1,S
83,C.A. 31026,10.5,2,S
9236,2697,7.2292,3,C
1198,C.A. 34651,27.75,2,S
7804,CA 2144,46.9,3,S
923,2669,7.2292,3,C
7181,113572,80.0,1,
6707,36973,83.475,1,S
1852,347088,27.9,3,S
4195,PC 17605,27.7208,1,C
6070,2661,15.2458,3,C
3884,C.A. 29395,10.5,2,S
3979,S.P. 3464,8.1583,3,S
9401,3101281,7.925,3,S
2986,315151,8.6625,3,S
2806,C.A. 33111,10.5,2,S
8140,CA 2144,46.9,3,S
7304,S.O.C. 14879,73.5,2,S
215,2680,14.4542,3,C
7537,1601,56.4958,3,S
9780,348123,7.65,3,S
9277,349208,7.8958,3,S
4960,374746,8.05,3,S
1677,248738,29.0,2,S
3372,364516,12.475,3,S
742,345767,9.0,3,S
7165,345779,9.5,3,S
7059,330932,7.7875,3,Q
4690,113059,47.1,1,S
3690,SO/C 14885,10.5,2,S
6920,3101278,15.85,3,S
993,W./C. 6608,34.375,3,S
959,SOTON/OQ 392086,8.05,3,S
5554,19950,263.0,1,S
403,343275,8.05,3,S
2168,343276,8.05,3,S
8736,347466,7.8542,3,S
7490,W.E.P. 5734,61.175,1,S
6991,C.A. 2315,20.575,3,S
1032,364500,7.25,3,S
5473,374910,8.05,3,S
3752,PC 17754,34.6542,1,C
9369,PC 17759,63.3583,1,C
5659,231919,23.0,2,S
3691,244367,26.0,2,S
658,349245,7.8958,3,S
3096,349215,7.8958,3,S
757,35281,77.2875,1,S
9573,7540,8.6542,3,S
1065,3101276,7.925,3,S
5807,349207,7.8958,3,S
5714,343120,7.65,3,S
8927,312991,7.775,3,S
1947,349249,7.8958,3,S
2446,371110,24.15,3,Q
8981,110465,52.0,1,S
7385,2665,14.4542,3,C
565,324669,8.05,3,S
1811,4136,9.825,3,S
2792,2627,14.4583,3,C
4782,STON/O 2. 3101294,7.925,3,S
4227,370369,7.75,3,Q
8665,11668,21.0,2,S
3666,PC 17558,247.5208,1,C
5872,347082,31.275,3,S
7557,S.O.C. 14879,73.5,2,S
7466,A4. 54510,8.05,3,S
9073,237736,30.0708,2,C
618,27267,13.0,2,S
8521,35281,77.2875,1,S
1542,2651,11.2417,3,C
8734,370372,7.75,3,Q
8861,C 17369,7.1417,3,S
369,2668,22.3583,3,C
9719,347061,6.975,3,S
4675,349241,7.8958,3,C
6063,SOTON/O.Q. 3101307,7.05,3,S
9829,A/5. 3337,14.5,3,S
467,228414,26.0,2,S
7304,C.A. 29178,13.0,2,S
5664,SC/PARIS 2133,15.0458,2,C
4456,11752,26.2833,1,S
2822,113803,53.1,1,S
9800,7534,9.2167,3,S
593,PC 17593,79.2,1,C
3078,2678,15.2458,3,C
4501,347081,7.75,3,S
3063,STON/O2. 3101279,15.85,3,S
7927,365222,6.75,3,Q
2139,231945,11.5,2,S
8597,C.A. 33112,36.75,2,S
4068,350043,7.7958,3,S
1164,W./C. 6608,34.375,3,S
3074,230080,26.0,2,S
8015,244310,13.0,2,S
9238,S.O.P. 1166,12.525,2,S
2696,113776,66.6,1,S
709,A.5. 11206,8.05,3,S
1119,A/5. 851,14.5,3,S
2100,Fa 265302,7.3125,3,S
2208,PC 17597,61.3792,1,C
5245,35851,7.7333,3,Q
5598,SOTON/OQ 392090,8.05,3,S
7915,315037,8.6625,3,S
3358,CA. 2343,69.55,3,S
7566,371362,16.1,3,S
2172,C.A. 33595,15.75,2,S
218,347068,7.775,3,S
1998,315093,8.6625,3,S
6414,3101295,39.6875,3,S
8708,363291,20.525,3,S
456,113505,55.0,1,S
7091,347088,27.9,3,S
5846,PC 17318,25.925,1,S
5620,1601,56.4958,3,S
1751,111240,33.5,1,S
8885,382652,29.125,3,Q
5532,347742,11.1333,3,S
863,STON/O 2. 3101280,7.925,3,S
1250,17764,30.6958,1,C
4353,350404,7.8542,3,S
1713,4133,25.4667,3,S
5763,PC 17595,28.7125,1,C
4406,250653,13.0,2,S
7667,LINE,0.0,3,S
4288,CA. 2343,69.55,3,S
2958,SC/PARIS 2131,15.05,2,C
795,347077,31.3875,3,S
5390,230136,39.0,2,S
1107,315153,22.025,3,S
6990,113767,50.0,1,S
3004,370365,15.5,3,Q
9172,111428,26.55,1,S
6988,364849,15.5,3,Q
907,349247,7.8958,3,S
8121,234604,13.0,2,S
1740,28424,13.0,2,S
9061,350046,7.8542,3,S
2659,230080,26.0,2,S
5842,PC 17610,27.7208,1,C
9417,PC 17569,146.5208,1,C
8825,368703,7.75,3,Q
8154,4579,8.4042,3,S
1639,370370,7.75,3,Q
9641,248747,13.0,2,S
3174,345770,9.5,3,S
2533,CA. 2343,69.55,3,S
6839,3101264,6.4958,3,S
6248,2628,7.225,3,C
4827,A/5 3540,8.05,3,S
5769,347054,10.4625,3,S
6120,3101278,15.85,3,S
1949,2699,18.7875,3,C
1470,367231,7.75,3,Q
9502,112277,31.0,1,C
7354,SOTON/O.Q. 3101311,7.05,3,S
332,F.C.C. 13528,21.0,2,S
4078,A/5 21174,7.25,3,S
9977,250646,13.0,2,S
4905,367229,7.75,3,Q
3526,35273,113.275,1,C
7747,STON/O2. 3101283,7.925,3,S
2109,243847,27.0,2,S
215,11813,76.2917,1,C
7564,W/C 14208,10.5,2,S
4114,SOTON/OQ 392089,8.05,3,S
3592,220367,13.0,2,S
8083,21440,8.05,3,S
2157,349234,7.8958,3,S
2724,19943,90.0,1,S
2178,PP 4348,9.35,3,S
9019,SW/PP 751,10.5,2,S
359,A/5 21173,7.25,3,S
5868,236171,13.0,2,S
8257,4133,25.4667,3,S
1985,36973,83.475,1,S
3253,347067,7.775,3,S
9081,237442,13.5,2,S
4336,347077,31.3875,3,S
758,C.A. 29566,10.5,2,S
3970,W./C. 6609,7.55,3,S
4622,26707,26.0,2,S
5136,C.A. 31921,26.25,2,S
3276,28665,10.5,2,S
5748,SCO/W 1585,12.275,2,S
4654,2665,14.4542,3,C
7632,367230,15.5,3,Q
6872,W./C. 14263,10.5,2,S
2158,STON/O 2. 3101275,7.125,3,S
6151,2694,7.225,3,C
9450,19928,90.0,1,Q
1625,347071,7.775,3,S
7287,250649,14.5,2,S
2503,11751,52.5542,1,S
2732,244252,26.0,2,S
3593,362316,7.25,3,S
8614,347054,10.4625,3,S
3941,113514,26.55,1,S
487,A/5. 3336,16.1,3,S
3552,370129,20.2125,3,S
3923,2650,15.2458,3,C
4819,PC 17585,79.2,1,C
8692,110152,86.5,1,S
581,PC 17755,512.3292,1,C
8777,230433,26.0,2,S
2424,384461,7.75,3,Q
4957,347077,31.3875,3,S
7070,110413,79.65,1,S
6860,112059,0.0,1,S
7401,382649,7.75,3,Q
5943,C.A. 17248,10.5,2,S
7880,3101295,39.6875,3,S
6227,347083,7.775,3,S
8174,PC 17582,153.4625,1,S
3138,PC 17760,135.6333,1,S
6597,113798,31.0,1,S
1043,LINE,0.0,3,S
1183,250644,19.5,2,S
4081,PC 17596,29.7,1,C
4221,370375,7.75,3,Q
1261,13502,77.9583,1,S
6263,347073,7.75,3,S
8896,239853,0.0,2,S
8470,382652,29.125,3,Q
22,C.A. 2673,20.25,3,S
3848,336439,7.75,3,Q
9332,347464,7.8542,3,S
9366,345778,9.5,3,S
4974,A/5. 10482,8.05,3,S
7051,113056,26.0,1,S
6489,349239,8.6625,3,C
1274,345774,9.5,3,S
4544,349206,7.8958,3,S
4860,237798,13.0,2,S
6024,370373,7.75,3,Q
7522,19877,78.85,1,S
1395,11967,91.0792,1,C
2418,SC/Paris 2163,12.875,2,C
2198,349236,8.85,3,S
6410,349233,7.8958,3,S
6732,PC 17612,27.7208,1,C
3963,2693,7.2292,3,C
9113,113781,151.55,1,S
347,19988,30.5,1,S
6967,PC 17558,247.5208,1,C
1132,9234,7.75,3,Q
5303,367226,23.25,3,Q
5368,LINE,0.0,3,S
1956,226593,12.35,2,Q
8609,A/5 2466,8.05,3,S
6509,113781,151.55,1,S
8280,17421,110.8833,1,C
2764,PC 17758,108.9,1,C
9919,P/PP 3381,24.0,2,C
6232,PC 17485,56.9292,1,C
2856,11767,83.1583,1,C
447,PC 17608,262.375,1,C
7148,250651,26.0,2,S
5175,349243,7.8958,3,S
1410,F.C.C. 13529,26.25,2,S
8042,347470,7.8542,3,S
3786,244367,26.0,2,S
9594,29011,14.0,2,S
8710,36928,164.8667,1,S
77,16966,134.5,1,C
5446,A/5 21172,7.25,3,S
1365,349219,7.8958,3,S
7025,234818,12.35,2,Q
1446,248738,29.0,2,S
2050,CA. 2343,69.55,3,S
7716,PC 17760,135.6333,1,C
5395,345364,6.2375,3,S
1860,28551,13.0,2,S
7249,363291,20.525,3,S
1709,111361,57.9792,1,C
1274,367226,23.25,3,Q
1598,113043,28.5,1,S
3021,PC 17582,153.4625,1,S
4312,345764,18.0,3,S
3830,PC 17611,133.65,1,S
2678,349225,7.8958,3,S
2864,113776,66.6,1,S
5698,16966,134.5,1,C
4505,7598,8.05,3,S
3132,113784,35.5,1,S
5697,230080,26.0,2,S
3969,19950,263.0,1,S
7029,248740,13.0,2,S
4267,244361,13.0,2,S
3400,229236,13.0,2,S
7431,248733,13.0,2,S
3397,31418,13.0,2,S
3771,386525,16.1,3,S
4315,C.A. 37671,15.9,3,S
3609,315088,8.6625,3,S
5475,7267,9.225,3,S
2730,113510,35.0,1,S
7993,2695,7.2292,3,C
1465,349237,17.8,3,S
2751,2647,7.225,3,C
8495,345783,9.5,3,S
6205,113505,55.0,1,S
9054,237671,13.0,2,S
8443,330931,7.8792,3,Q
3277,330980,7.8792,3,Q
555,347088,27.9,3,S
7486,SC/PARIS 2167,27.7208,2,C
5194,2691,14.4542,3,C
2840,SOTON/O.Q. 3101310,7.05,3,S
8857,370365,15.5,3,Q
2352,C 7076,7.25,3,S
9801,110813,75.25,1,C
7335,2626,7.2292,3,C
41,14313,7.75,3,Q
5316,PC 17477,69.3,1,C
8565,11765,55.4417,1,C
1877,3101267,6.4958,3,S
7792,323951,8.05,3,S
1197,PC 17760,135.6333,1,C
6893,349909,21.075,3,S
751,PC 17604,82.1708,1,C
6796,C 7077,7.25,3,S
9701,113503,211.5,1,C
193,2648,4.0125,3,C
4286,347069,7.775,3,S
3854,PC 17757,227.525,1,C
9501,2653,15.7417,3,C
3158,STON/O 2. 3101293,7.925,3,S
1889,113789,52.0,1,S
5232,349227,7.8958,3,S
8648,S.O.C. 14879,73.5,2,S
444,CA 2144,46.9,3,S
4545,27849,13.0,2,S
4950,367655,7.7292,3,Q
1927,SC 1748,12.0,2,C
4458,113760,120.0,1,S
6210,350034,7.7958,3,S
5839,3101277,7.925,3,S
186,35273,113.275,1,C
1512,PP 9549,16.7,3,S
7234,350052,7.7958,3,S
817,350407,7.8542,3,S
3892,28403,26.0,2,S
4480,244278,10.5,2,S
4517,240929,12.65,2,S
4255,STON/O 2. 3101289,7.925,3,S
891,341826,8.05,3,S
2792,4137,9.825,3,S
1803,STON/O2. 3101279,15.85,3,S
8452,315096,8.6625,3,S
2156,28664,21.0,2,S
8853,347064,7.75,3,S
7158,29106,18.75,2,S
2893,312992,7.775,3,S
8930,4133,25.4667,3,S
4300,349222,7.8958,3,S
539,394140,6.8583,3,Q
5490,19928,90.0,1,Q
9622,239853,0.0,2,S
3303,STON/O 2. 3101269,7.925,3,S
2906,343095,8.05,3,S
8341,28220,32.5,2,S
623,250652,13.0,2,S
4086,28228,13.0,2,S
199,345773,24.15,3,S
8755,349254,7.8958,3,C
6949,A/5. 13032,7.7333,3,Q
275,315082,7.875,3,S
5232,347080,14.4,3,S
9930,370129,20.2125,3,S
9121,A/4. 34244,7.25,3,S
457,2003,26.0,2,S
9422,250655,26.0,2,S
3155,364851,7.75,3,Q
3023,SOTON/O.Q. 392078,8.05,3,S
2378,110564,26.55,1,S
3209,376564,16.1,3,S
4067,SC/AH 3085,26.0,2,S
9064,STON/O 2. 3101274,7.125,3,S
8207,13507,55.9,1,S
7927,113760,120.0,1,S
9670,W./C. 6608,34.375,3,S
1968,29106,18.75,2,S
6890,19950,263.0,1,S
3855,C.A. 18723,10.5,2,S
3167,F.C.C. 13529,26.25,2,S
8959,345769,9.5,3,S
1580,347076,7.775,3,S
9904,230434,13.0,2,S
3638,65306,8.1125,3,S
1214,33638,81.8583,1,S
6669,250644,19.5,2,S
2754,113794,26.55,1,S
3081,2666,19.2583,3,C
5455,113786,30.5,1,S
6043,C.A. 34651,27.75,2,S
9723,65303,19.9667,3,S
5229,113051,27.75,1,C
4198,17453,89.1042,1,C
7172,A/5 2817,8.05,3,S
2424,349240,7.8958,3,C
8270,13509,26.55,1,S
6701,17464,51.8625,1,S
7884,F.C.C. 13531,10.5,2,S
7475,371060,7.75,3,Q
3389,19952,26.55,1,S
6550,364506,8.05,3,S
640,111320,38.5,1,S
7163,234360,13.0,2,S
2715,A/S 2816,8.05,3,S
619,SOTON/O.Q. 3101306,7.05,3,S
7110,239853,0.0,2,S
5767,113792,26.55,1,S
7097,36209,7.725,3,Q
6877,2666,19.2583,3,C
4941,323592,7.25,3,S
9774,315089,8.6625,3,S
64,C.A. 34651,27.75,2,S
6082,SC/AH Basle 541,13.7917,2,C
5001,7553,9.8375,3,S
4787,110465,52.0,1,S
3665,31027,21.0,2,S
7798,3460,7.0458,3,S
3164,350060,7.5208,3,S
7363,3101298,12.2875,3,S
5074,CA 2144,46.9,3,S
4157,239854,0.0,2,S
3052,A/5 3594,8.05,3,S
6680,4134,9.5875,3,S
7057,11967,91.0792,1,C
4022,4133,25.4667,3,S
4454,19943,90.0,1,S
1425,11771,29.7,1,C
3786,A.5. 18509,8.05,3,S
6467,C.A. 37671,15.9,3,S
3365,65304,19.9667,3,S
6012,SOTON/OQ 3101317,7.25,3,S
5818,113787,30.5,1,S
829,PC 17609,49.5042,1,C
5589,A/4 45380,8.05,3,S
838,2627,14.4583,3,C
2569,36947,78.2667,1,C
1388,C.A. 6212,15.1,3,S
4062,113781,151.55,1,S
3477,350035,7.7958,3,S
9712,315086,8.6625,3,S
8455,364846,7.75,3,Q
3185,330909,7.6292,3,Q
6063,4135,9.5875,3,S
2071,110152,86.5,1,S
5197,PC 17758,108.9,1,C
2347,26360,26.0,2,S
931,111427,26.55,1,S
409,C 4001,22.525,3,S
2580,1601,56.4958,3,S
102,382651,7.75,3,Q
677,SOTON/OQ 3101316,8.05,3,S
2028,PC 17473,26.2875,1,S
5184,PC 17603,59.4,1,C
3737,349209,7.4958,3,S
521,36967,34.0208,1,S
5244,C.A. 34260,10.5,2,S
6950,371110,24.15,3,Q
1885,226875,26.0,2,S
4695,349242,7.8958,3,S
9450,12749,93.5,1,S
4562,349252,7.8958,3,S
7331,2624,7.225,3,C
354,111361,57.9792,1,C
7160,2700,7.2292,3,C
4155,367232,7.75,3,Q
7360,W./C. 14258,10.5,2,S
6553,PC 17483,221.7792,1,S
9258,3101296,7.925,3,S
5595,29104,11.5,2,S
9134,26360,26.0,2,S
4158,2641,7.2292,3,C
1985,2690,7.2292,3,C
1554,2668,22.3583,3,C
5600,315084,8.6625,3,S
9690,F.C.C. 13529,26.25,2,S
5292,113050,26.55,1,S
6286,PC 17761,106.425,1,C
4169,364498,14.5,3,S
3690,13568,49.5,1,C
5299,WE/P 5735,71.0,1,S
1474,347082,31.275,3,S
9544,347082,31.275,3,S
4976,2908,26.0,2,S
6331,PC 17761,106.425,1,C
7203,693,26.0,1,S
2898,2908,26.0,2,S
9145,SC/PARIS 2146,13.8625,2,C
3893,363291,20.525,3,S
3682,C.A. 33112,36.75,2,S
6502,17421,110.8833,1,C
7106,244358,26.0,2,S
1991,330979,7.8292,3,Q
7118,2620,7.225,3,C
8739,347085,7.775,3,S
5637,113807,26.55,1,S
9157,11755,39.6,1,C
1183,PC 17757,227.525,1,C
8652,110413,79.65,1,S
466,345572,17.4,3,S
1808,372622,7.75,3,Q
2677,349251,7.8958,3,S
3056,218629,13.5,2,S
2731,SOTON/OQ 392082,8.05,3,S
1848,SOTON/O.Q. 392087,8.05,3,S
7619,A/4 48871,24.15,3,S
1257,349205,7.8958,3,S
2273,349909,21.075,3,S
3619,2686,7.2292,3,C
3053,350417,7.8542,3,S
9881,S.W./PP 752,10.5,2,S
5098,11769,51.4792,1,S
2647,PC 17474,26.3875,1,S
5582,14312,7.75,3,Q
5453,A/4. 20589,8.05,3,S
5015,358585,14.5,3,S
6461,243880,13.0,2,S
8042,13507,55.9,1,S
5930,2689,14.4583,3,C
2711,STON/O 2. 3101286,7.925,3,S
683,237789,30.0,2,S
8038,17421,110.8833,1,C
6154,28403,26.0,2,S
1462,13049,40.125,1,C
6646,3411,8.7125,3,C
7993,110413,79.65,1,S
6379,237565,15.0,2,S
8648,13567,79.2,1,C
8562,14973,8.05,3,S
5742,A./5. 3235,8.05,3,S
9743,STON/O 2. 3101273,7.125,3,S
2127,36947,78.2667,1,C
5148,A/5 3902,7.25,3,S
8718,364848,7.75,3,Q
2816,SC/AH 29037,26.0,2,S
4121,345773,24.15,3,S
5742,248727,33.0,2,S
7273,LINE,0.0,3,S
8826,2664,7.225,3,C
1034,PC 17485,56.9292,1,C
5807,243847,27.0,2,S
2642,349214,7.8958,3,S
4949,113796,42.4,1,S
9237,364511,8.05,3,S
8981,111426,26.55,1,C
6288,349910,15.55,3,S
6251,349246,7.8958,3,S
8500,113804,30.5,1,S
1022,SC/Paris 2123,41.5792,2,C
5466,PC 17582,153.4625,1,S
4010,347082,31.275,3,S
1287,SOTON/O.Q. 3101305,7.05,3,S
3293,367230,15.5,3,Q
5759,370377,7.75,3,Q
7126,364512,8.05,3,S
57,220845,65.0,2,S
3027,347080,14.4,3,S
1947,A/5. 3336,16.1,3,S
1582,230136,39.0,2,S
6386,31028,10.5,2,S
8906,2659,14.4542,3,C
6504,11753,52.5542,1,S
3897,2653,15.7417,3,C
2591,350029,7.8542,3,S
4554,54636,16.1,3,S
2794,36963,32.3208,1,S
6764,219533,12.35,2,Q
272,13502,77.9583,1,S
749,349224,7.8958,3,S
4452,334912,7.7333,3,Q
7379,27042,30.0,1,S
337,347743,7.0542,3,S
2717,13214,30.5,1,C
2787,112052,0.0,1,S
5620,347088,27.9,3,S
9780,237668,13.0,2,S
828,STON/O 2. 3101292,7.925,3,S
7050,C.A. 31921,26.25,2,S
6015,3101295,39.6875,3,S
4404,376564,16.1,3,S
6928,350050,7.8542,3,S
1496,PC 17477,69.3,1,C
4027,347088,27.9,3,S
3984,1601,56.4958,3,S
9932,2666,19.2583,3,C
3392,PC 17572,76.7292,1,C
9466,349231,7.8958,3,S
5840,13213,35.5,1,C
2948,S.O./P.P. 751,7.55,3,S
1307,CA. 2314,7.55,3,S
6319,349221,7.8958,3,S
5295,231919,23.0,2,S
7996,8475,8.4333,3,S
2993,330919,7.8292,3,Q
4735,365226,6.75,3,Q
4260,S.O.C. 14879,73.5,2,S
4761,349223,7.8958,3,S
1019,364849,15.5,3,Q
8967,29751,13.0,2,S
5745,35273,113.275,1,C
4080,PC 17611,133.65,1,S
8036,2623,7.225,3,C
4940,5727,25.5875,1,S
8736,349210,7.4958,3,S
4144,STON/O 2. 3101285,7.925,3,S
5344,S.O.C. 14879,73.5,2,S
4490,234686,13.0,2,S
3420,312993,7.775,3,S
850,A/5 3536,8.05,3,S
7563,19996,52.0,1,S
8226,29750,39.0,2,S
1494,F.C. 12750,52.0,1,S
668,C.A. 24580,10.5,2,S
3674,244270,13.0,2,S
2944,239856,0.0,2,S
6743,349912,7.775,3,S
8967,342826,8.05,3,S
3523,4138,9.8417,3,S
9811,CA 2144,46.9,3,S
3782,PC 17755,512.3292,1,C
8245,330935,8.1375,3,Q
4186,PC 17572,76.7292,1,C
82,6563,9.225,3,S
3329,CA 2144,46.9,3,S
5581,29750,39.0,2,S
9454,SC/Paris 2123,41.5792,2,C
7539,3101295,39.6875,3,S
6982,349228,10.1708,3,S
897,350036,7.7958,3,S
7167,24160,211.3375,1,S
9691,17474,57.0,1,S
6842,349256,13.4167,3,C
2349,1601,56.4958,3,S
2004,2672,7.225,3,C
8351,113800,26.55,1,S
2018,248731,13.5,2,S
2006,363592,8.05,3,S
7483,35852,7.7333,3,Q
8809,17421,110.8833,1,C
2561,348121,7.65,3,S
5895,PC 17757,227.525,1,C
2442,PC 17475,26.2875,1,S
3380,2691,14.4542,3,C
7539,36864,7.7417,3,Q
9084,350025,7.8542,3,S
9134,250655,26.0,2,S
5633,223596,13.5,2,S
8368,PC 17476,26.2875,1,S
6067,113781,151.55,1,S
1824,2661,15.2458,3,C
9177,PC 17482,49.5042,1,C
2310,113028,26.55,1,S
9127,19996,52.0,1,S
7624,7545,9.4833,3,S
961,250647,13.0,2,S
1217,348124,7.65,3,S
45,PC 17757,227.525,1,C
1225,34218,10.5,2,S
8467,36568,15.5,3,Q
3026,347062,7.775,3,S
2967,248727,33.0,2,S
7249,350048,7.0542,3,S
9566,12233,13.0,2,S
9154,250643,13.0,2,S
7750,113806,53.1,1,S
8368,315094,8.6625,3,S
1482,31027,21.0,2,S
115,36866,7.7375,3,Q
1403,236853,26.0,2,S
8971,STON/O2. 3101271,7.925,3,S
9563,24160,211.3375,1,S
8284,2699,18.7875,3,C
2269,239855,0.0,2,S
3814,28425,13.0,2,S
6580,233639,13.0,2,S
813,54636,16.1,3,S
1321,W./C. 6608,34.375,3,S
9978,PC 17755,512.3292,1,C
3496,349201,7.8958,3,S
2667,349218,7.8958,3,S
1886,16988,30.0,1,S
3330,19877,78.85,1,S
9818,PC 17608,262.375,1,C
9697,376566,16.1,3,S
150,STON/O 2. 3101288,7.925,3,S
2604,WE/P 5735,71.0,1,S
5440,C.A. 2673,20.25,3,S
5897,250648,13.0,2,S
7639,113773,53.1,1,S
7013,335097,7.75,3,Q
7359,29103,23.0,2,S
7189,392096,12.475,3,S
833,345780,9.5,3,S
1538,349204,7.8958,3,S
8839,220845,65.0,2,S
3142,250649,14.5,2,S
5240,350042,7.7958,3,S
1033,29108,11.5,2,S
5100,363294,8.05,3,S
3460,110152,86.5,1,S
5053,358585,14.5,3,S
6733,SOTON/O2 3101272,7.125,3,S
3867,2663,7.2292,3,C
9896,113760,120.0,1,S
6852,347074,7.775,3,S
7569,13502,77.9583,1,S
8374,112379,39.6,1,C
6792,364850,7.75,3,Q
3348,371110,24.15,3,Q
5144,8471,8.3625,3,S
988,345781,9.5,3,S
2383,350047,7.8542,3,S
660,S.O./P.P. 3,10.5,2,S
7027,2674,7.225,3,C
9229,29105,23.0,2,S
1366,347078,7.75,3,S
8800,383121,7.75,3,Q
8928,364516,12.475,3,S
7602,36865,7.7375,3,Q
2794,24160,211.3375,1,S
4277,2687,7.2292,3,C
4841,17474,57.0,1,S
6197,113501,30.0,1,S
3112,W./C. 6607,23.45,3,S
7224,SOTON/O.Q. 3101312,7.05,3,S
5961,374887,7.25,3,S
7110,3101265,7.4958,3,S
7912,382652,29.125,3,Q
8332,C.A. 2315,20.575,3,S
8711,PC 17593,79.2,1,C
3540,12460,7.75,3,Q
9342,239865,26.0,2,S
9735,CA. 2343,69.55,3,S
5685,PC 17600,30.6958,1,C
7042,349203,7.8958,3,S
3239,28213,13.0,2,S
3470,17465,25.9292,1,S
3869,349244,8.6833,3,S
2329,2685,7.2292,3,C
2582,345773,24.15,3,S
8336,250647,13.0,2,S
8441,C.A. 31921,26.25,2,S
5861,113760,120.0,1,S
8152,2625,8.5167,3,C
2376,347089,6.975,3,S
9144,347063,7.775,3,S
5167,112050,0.0,1,S
4626,347087,7.775,3,S
1586,248723,13.0,2,S
1524,113806,53.1,1,S
5483,3474,7.8875,3,S
2423,A/4 48871,24.15,3,S
9599,28206,10.5,2,S
3393,347082,31.275,3,S
4821,364499,8.05,3,S
4430,112058,0.0,1,S
4391,STON/O2. 3101290,7.925,3,S
2549,S.C./PARIS 2079,37.0042,2,C
9812,C 7075,6.45,3,S
8176,347088,27.9,3,S
4970,12749,93.5,1,S
7629,315098,8.6625,3,S
9579,19972,0.0,1,S
1005,392096,12.475,3,S
3475,3101295,39.6875,3,S
4823,368323,6.95,3,Q
9075,1601,56.4958,3,S
5255,S.C./PARIS 2079,37.0042,2,C
2235,367228,7.75,3,Q
7387,113572,80.0,1,
7596,2659,14.4542,3,C
7808,29106,18.75,2,S
6355,2671,7.2292,3,C
9848,347468,7.8542,3,S
9828,2223,8.3,3,S
5451,PC 17756,83.1583,1,C
3949,315097,8.6625,3,S
3930,392092,8.05,3,S
4947,1601,56.4958,3,S
7549,11774,29.7,1,C
8234,SOTON/O2 3101287,7.925,3,S
6529,S.O./P.P. 3,10.5,2,S
1209,113798,31.0,1,C
1442,2683,6.4375,3,C
8207,315090,8.6625,3,S
732,C.A. 5547,7.55,3,S
4180,CA. 2343,69.55,3,S
7357,349213,7.8958,3,C
7973,248727,33.0,2,S
4949,17453,89.1042,1,C
1307,347082,31.275,3,S
7599,347060,7.775,3,S
2158,2678,15.2458,3,C
4914,PC 17592,39.4,1,S
6307,244252,26.0,2,S
7862,392091,9.35,3,S
8014,36928,164.8667,1,S
6876,113055,26.55,1,S
7785,2666,19.2583,3,C
7897,2629,7.2292,3,C
9564,350026,14.1083,3,S
9970,28134,11.5,2,S
6623,17466,25.9292,1,S
3404,CA. 2343,69.55,3,S
2885,233866,13.0,2,S
8660,236852,13.0,2,S
1245,SC/PARIS 2149,13.8583,2,C
1212,PC 17590,50.4958,1,S
6083,345777,9.5,3,S
4972,347742,11.1333,3,S
2750,349248,7.8958,3,S
3444,11751,52.5542,1,S
9770,695,5.0,1,S
5307,345765,9.0,3,S
2382,P/PP 3381,24.0,2,C
948,2667,7.225,3,C
5298,7534,9.8458,3,S
3997,349212,7.8958,3,S
4731,349217,7.8958,3,S
7931,11767,83.1583,1,C
844,230433,26.0,2,S
460,349257,7.8958,3,S
2007,7552,10.5167,3,S
620,C.A./SOTON 34068,10.5,2,S
5463,SOTON/OQ 392076,7.05,3,S
6648,382652,29.125,3,Q
4782,211536,13.0,2,S
5248,112053,30.0,1,S
6171,W./C. 6607,23.45,3,S
9064,111369,30.0,1,C
8339,370376,7.75,3,Q
